A  	Element	Z 	N  	Energy	JPi        	Mass Exc    	Unc     	T1/2 (txt)       	T1/2 (seconds)               	Abund.  	Unc    	Dec Mode	Branching (%)
17 	C      	6 	11 	0.0000	3/2+       	21031.880   	17.365  	193 MS 6         	0.193                        	        	       	B-N     	26           
18 	C      	6 	12 	0.0000	0+         	24919.266   	30.000  	92 MS 2          	0.092                        	        	       	B-      	100          
18 	C      	6 	12 	0.0000	0+         	24919.266   	30.000  	92 MS 2          	0.092                        	        	       	B-N     	31.5         
19 	C      	6 	13 	0.0000	(1/2+)     	32413.754   	98.389  	46.3 MS 40       	0.0463                       	        	       	B-      	100          
19 	C      	6 	13 	0.0000	(1/2+)     	32413.754   	98.389  	46.3 MS 40       	0.0463                       	        	       	B-N     	47           
19 	C      	6 	13 	0.0000	(1/2+)     	32413.754   	98.389  	46.3 MS 40       	0.0463                       	        	       	B2N     	7            
20 	C      	6 	14 	0.0000	0+         	37503.567   	230.625 	16.3 MS +40-35   	0.0163                       	        	       	B-      	100          
20 	C      	6 	14 	0.0000	0+         	37503.567   	230.625 	16.3 MS +40-35   	0.0163                       	        	       	B-N     	65           
20 	C      	6 	14 	0.0000	0+         	37503.567   	230.625 	16.3 MS +40-35   	0.0163                       	        	       	B2N     	18.6         
22 	C      	6 	16 	0.0000	0+         	53611.203   	231.490 	6.1 MS +14-12    	0.0061                       	        	       	B-      	100          
22 	C      	6 	16 	0.0000	0+         	53611.203   	231.490 	6.1 MS +14-12    	0.0061                       	        	       	B-N     	61           
22 	C      	6 	16 	0.0000	0+         	53611.203   	231.490 	6.1 MS +14-12    	0.0061                       	        	       	B2N     	37           
10 	N      	7 	3  	0.0000	(1-)       	38800.027   	400.000 	2.5 MEV +20-15   	1.8249508602855427e-22       	        	       	P       	100          
11 	N      	7 	4  	0.0000	1/2+       	24365.644   	5.000   	830 KEV 30       	5.496839940619106e-22        	        	       	P       	100          
12 	N      	7 	5  	0.0000	1+         	17338.068   	1.000   	11.000 MS 16     	0.011                        	        	       	EC      	100          
12 	N      	7 	5  	0.0000	1+         	17338.068   	1.000   	11.000 MS 16     	0.011                        	        	       	EA      	1.93         
13 	N      	7 	6  	0.0000	1/2-       	5345.481    	0.270   	9.965 M 4        	597.9                        	        	       	EC      	100          
14 	N      	7 	7  	0.0000	1+         	2863.41683  	0.00022 	STABLE           	infinity                     	99.6205 	0.0247 	        	             
15 	N      	7 	8  	0.0000	1/2-       	101.43809   	0.00058 	STABLE           	infinity                     	0.3795  	0.0247 	        	             
16 	N      	7 	9  	0.0000	2-         	5683.907    	2.301   	7.13 S 2         	7.13                         	        	       	B-      	100          
16 	N      	7 	9  	0.0000	2-         	5683.907    	2.301   	7.13 S 2         	7.13                         	        	       	BA      	0.0012       
17 	N      	7 	10 	0.0000	1/2-       	7870.079    	15.000  	4.173 S 4        	4.173                        	        	       	B-      	100          
17 	N      	7 	10 	0.0000	1/2-       	7870.079    	15.000  	4.173 S 4        	4.173                        	        	       	B-N     	95.1         
17 	N      	7 	10 	0.0000	1/2-       	7870.079    	15.000  	4.173 S 4        	4.173                        	        	       	BA      	0.0025       
18 	N      	7 	11 	0.0000	1-         	13113.167   	18.570  	619 MS 2         	0.619                        	        	       	B-      	100          
18 	N      	7 	11 	0.0000	1-         	13113.167   	18.570  	619 MS 2         	0.619                        	        	       	BA      	12.2         
18 	N      	7 	11 	0.0000	1-         	13113.167   	18.570  	619 MS 2         	0.619                        	        	       	B-N     	12           
19 	N      	7 	12 	0.0000	1/2-       	15856.255   	16.404  	336 MS 3         	0.336                        	        	       	B-      	100          
19 	N      	7 	12 	0.0000	1/2-       	15856.255   	16.404  	336 MS 3         	0.336                        	        	       	B-N     	41.8         
20 	N      	7 	13 	0.0000	(2-)       	21766.498   	78.894  	134.4 MS 37      	0.1344                       	        	       	B-      	100          
20 	N      	7 	13 	0.0000	(2-)       	21766.498   	78.894  	134.4 MS 37      	0.1344                       	        	       	B-N     	42.9         
21 	N      	7 	14 	0.0000	(1/2-)     	25231.915   	134.048 	84 MS 7          	0.084                        	        	       	B-      	100          
