A  	Element	Z 	N  	Energy	JPi        	Mass Exc    	Unc     	T1/2 (txt)       	T1/2 (seconds)               	Abund.  	Unc    	Dec Mode	Branching (%)
114	IN     	49	65 	0.0000	1+         	-88569.807  	0.301   	71.9 S 1         	71.9                         	        	       	B-      	99.5         
114	IN     	49	65 	0.0000	1+         	-88569.807  	0.301   	71.9 S 1         	71.9                         	        	       	EC      	0.5          
115	IN     	49	66 	0.0000	9/2+       	-89536.357  	0.012   	4.41E+14 Y 25    	1.3916604354795072e22        	95.719  	0.052  	B-      	100          
116	IN     	49	67 	0.0000	1+         	-88249.758  	0.220   	14.10 S 3        	14.1                         	        	       	B-      	99.977       
116	IN     	49	67 	0.0000	1+         	-88249.758  	0.220   	14.10 S 3        	14.1                         	        	       	EC      	0.023        
117	IN     	49	68 	0.0000	9/2+       	-88943.035  	4.881   	43.2 M 3         	2592                         	        	       	B-      	100          
118	IN     	49	69 	0.0000	1+         	-87228.177  	7.752   	5.0 S 5          	5                            	        	       	B-      	100          
119	IN     	49	70 	0.0000	9/2+       	-87698.658  	7.310   	2.4 M 1          	144                          	        	       	B-      	100          
120	IN     	49	71 	0.0000	1+         	-85727.741  	40.011  	3.08 S 8         	3.08                         	        	       	B-      	100          
121	IN     	49	72 	0.0000	9/2+       	-85834.593  	27.419  	23.1 S 6         	23.1                         	        	       	B-      	100          
122	IN     	49	73 	0.0000	1+         	-83571.361  	50.060  	1.5 S 3          	1.5                          	        	       	B-      	100          
123	IN     	49	74 	0.0000	9/2+       	-83429.034  	19.832  	6.15 S 27        	6.15                         	        	       	B-      	100          
124	IN     	49	75 	0.0000	(1)+       	-80867.778  	30.561  	3.12 S 9         	3.12                         	        	       	B-      	100          
125	IN     	49	76 	0.0000	9/2+       	-80412.308  	1.770   	2.36 S 4         	2.36                         	        	       	B-      	100          
126	IN     	49	77 	0.0000	3(+)       	-77809.377  	4.192   	1.53 S 1         	1.53                         	        	       	B-      	100          
127	IN     	49	78 	0.0000	(9/2+)     	-76879.897  	10.001  	1.09 S 1         	1.09                         	        	       	B-      	100          
127	IN     	49	78 	0.0000	(9/2+)     	-76879.897  	10.001  	1.09 S 1         	1.09                         	        	       	B-N     	0.03         
128	IN     	49	79 	0.0000	(3)+       	-74190.117  	1.322   	0.84 S 6         	0.84                         	        	       	B-      	100          
128	IN     	49	79 	0.0000	(3)+       	-74190.117  	1.322   	0.84 S 6         	0.84                         	        	       	B-N     	0.046        
129	IN     	49	80 	0.0000	(9/2+)     	-72834.889  	1.971   	611 MS 5         	0.611                        	        	       	B-      	100          
129	IN     	49	80 	0.0000	(9/2+)     	-72834.889  	1.971   	611 MS 5         	0.611                        	        	       	B-N     	0.23         
130	IN     	49	81 	0.0000	1(-)       	-69906.530  	1.790   	0.29 S 2         	0.29                         	        	       	B-      	100          
130	IN     	49	81 	0.0000	1(-)       	-69906.530  	1.790   	0.29 S 2         	0.29                         	        	       	B-N     	0.93         
131	IN     	49	82 	0.0000	(9/2+)     	-68024.369  	2.205   	0.28 S 3         	0.28                         	        	       	B-      	100          
131	IN     	49	82 	0.0000	(9/2+)     	-68024.369  	2.205   	0.28 S 3         	0.28                         	        	       	B-N     	2            
132	IN     	49	83 	0.0000	(7-)       	-62411.554  	60.033  	0.200 S 2        	0.2                          	        	       	B-      	100          
132	IN     	49	83 	0.0000	(7-)       	-62411.554  	60.033  	0.200 S 2        	0.2                          	        	       	B-N     	7.4          
132	IN     	49	83 	0.0000	(7-)       	-62411.554  	60.033  	0.200 S 2        	0.2                          	        	       	B2N     	             
133	IN     	49	84 	0.0000	(9/2+)     	-57690      	200     	165 MS 3         	0.165                        	        	       	B-      	100          
133	IN     	49	84 	0.0000	(9/2+)     	-57690      	200     	165 MS 3         	0.165                        	        	       	B-N     	85           
134	IN     	49	85 	0.0000	(4- TO 7-) 	-51970      	200     	140 MS 4         	0.14                         	        	       	B-      	100          
134	IN     	49	85 	0.0000	(4- TO 7-) 	-51970      	200     	140 MS 4         	0.14                         	        	       	B-N     	65           
135	IN     	49	86 	0.0000	           	-47110      	300     	101 MS 5         	0.101                        	        	       	B-      	100          
135	IN     	49	86 	0.0000	           	-47110      	300     	101 MS 5         	0.101                        	        	       	B-N     	0            
135	IN     	49	86 	0.0000	           	-47110      	300     	101 MS 5         	0.101                        	        	       	B2N     	             
136	IN     	49	87 	0.0000	           	-40970      	300     	85 MS +10-8      	0.085                        	        	       	B-      	100          
136	IN     	49	87 	0.0000	           	-40970      	300     	85 MS +10-8      	0.085                        	        	       	B-N     	             
136	IN     	49	87 	0.0000	           	-40970      	300     	85 MS +10-8      	0.085                        	        	       	B2N     	             
137	IN     	49	88 	0.0000	           	-35830      	400     	65 MS +40-30     	0.065                        	        	       	B-      	100          
137	IN     	49	88 	0.0000	           	-35830      	400     	65 MS +40-30     	0.065                        	        	       	B2N     	             
137	IN     	49	88 	0.0000	           	-35830      	400     	65 MS +40-30     	0.065                        	        	       	B-N     	             
99 	SN     	50	49 	0.0000	           	-47976      	582     	760 NS           	0.00000076                   	        	       	EC      	             
99 	SN     	50	49 	0.0000	           	-47976      	582     	760 NS           	0.00000076                   	        	       	EP      	             
100	SN     	50	50 	0.0000	0+         	-57148.146  	240.010 	1.18 S 8         	1.18                         	        	       	EC      	100          
100	SN     	50	50 	0.0000	0+         	-57148.146  	240.010 	1.18 S 8         	1.18                         	        	       	EP      	17           
101	SN     	50	51 	0.0000	(5/2+)     	-60305.624  	300.005 	1.7 S 3          	1.7                          	        	       	EC      	100          
101	SN     	50	51 	0.0000	(5/2+)     	-60305.624  	300.005 	1.7 S 3          	1.7                          	        	       	EP      	26           
102	SN     	50	52 	0.0000	0+         	-64934.896  	100.105 	3.8 S 2          	3.8                          	        	       	EC      	100          
103	SN     	50	53 	0.0000	(5/2+)     	-67092      	100     	7.0 S 2          	7                            	        	       	EC      	100          
103	SN     	50	53 	0.0000	(5/2+)     	-67092      	100     	7.0 S 2          	7                            	        	       	EP      	1.2          
104	SN     	50	54 	0.0000	0+         	-71627.057  	5.745   	20.8 S 5         	20.8                         	        	       	EC      	100          
105	SN     	50	55 	0.0000	(5/2+)     	-73338.001  	3.971   	32.7 S 5         	32.7                         	        	       	EC      	100          
105	SN     	50	55 	0.0000	(5/2+)     	-73338.001  	3.971   	32.7 S 5         	32.7                         	        	       	EP      	0.011        
106	SN     	50	56 	0.0000	0+         	-77353.698  	5.091   	115 S 5          	115                          	        	       	EC      	100          
107	SN     	50	57 	0.0000	(5/2+)     	-78512.239  	5.310   	2.90 M 5         	174                          	        	       	EC      	100          
108	SN     	50	58 	0.0000	0+         	-82069.949  	5.382   	10.30 M 8        	618                          	        	       	EC      	100          
109	SN     	50	59 	0.0000	5/2+       	-82630.180  	7.949   	18.1 M 2         	1086                         	        	       	EC      	100          
110	SN     	50	60 	0.0000	0+         	-85841.993  	13.777  	4.154 H 4        	14954.4                      	        	       	EC      	100          
111	SN     	50	61 	0.0000	7/2+       	-85938.581  	5.336   	35.3 M 6         	2118                         	        	       	EC      	100          
112	SN     	50	62 	0.0000	0+         	-88655.049  	0.294   	STABLE           	infinity                     	0.97    	0.01   	        	             
113	SN     	50	63 	0.0000	1/2+       	-88328.129  	1.575   	115.09 D 3       	9943776                      	        	       	EC      	100          
114	SN     	50	64 	0.0000	0+         	-90559.735  	0.029   	STABLE           	infinity                     	0.66    	0.01   	        	             
115	SN     	50	65 	0.0000	1/2+       	-90033.846  	0.015   	STABLE           	infinity                     	0.34    	0.01   	        	             
116	SN     	50	66 	0.0000	0+         	-91525.979  	0.096   	STABLE           	infinity                     	14.54   	0.09   	        	             
117	SN     	50	67 	0.0000	1/2+       	-90397.742  	0.483   	STABLE           	infinity                     	7.68    	0.07   	        	             
118	SN     	50	68 	0.0000	0+         	-91652.843  	0.499   	STABLE           	infinity                     	24.22   	0.09   	        	             
119	SN     	50	69 	0.0000	1/2+       	-90064.985  	0.725   	STABLE           	infinity                     	8.59    	0.04   	        	             
120	SN     	50	70 	0.0000	0+         	-91097.741  	0.920   	STABLE           	infinity                     	32.58   	0.09   	        	             
121	SN     	50	71 	0.0000	3/2+       	-89196.626  	0.978   	27.03 H 4        	97308                        	        	       	B-      	100          
122	SN     	50	72 	0.0000	0+         	-89939.953  	2.448   	STABLE           	infinity                     	4.63    	0.03   	        	             
123	SN     	50	73 	0.0000	11/2-      	-87814.683  	2.479   	129.2 D 5        	11162880                     	        	       	B-      	100          
124	SN     	50	74 	0.0000	0+         	-88231.475  	1.314   	STABLE           	infinity                     	5.79    	0.05   	        	             
125	SN     	50	75 	0.0000	11/2-      	-85893.657  	1.329   	9.64 D 3         	832896                       	        	       	B-      	100          
126	SN     	50	76 	0.0000	0+         	-86015.135  	10.688  	2.18E+5 Y 10     	6879409862461.056            	        	       	B-      	100          
127	SN     	50	77 	0.0000	11/2-      	-83469.578  	9.226   	2.10 H 4         	7560                         	        	       	B-      	100          
128	SN     	50	78 	0.0000	0+         	-83361.430  	17.682  	59.07 M 14       	3544.2                       	        	       	B-      	100          
129	SN     	50	79 	0.0000	3/2+       	-80590.597  	17.270  	2.23 M 4         	133.8                        	        	       	B-      	100          
130	SN     	50	80 	0.0000	0+         	-80132.217  	1.873   	3.72 M 7         	223.2                        	        	       	B-      	100          
131	SN     	50	81 	0.0000	(3/2+)     	-77264.579  	3.621   	56.0 S 5         	56                           	        	       	B-      	100          
132	SN     	50	82 	0.0000	0+         	-76546.554  	1.976   	39.7 S 8         	39.7                         	        	       	B-      	100          
133	SN     	50	83 	0.0000	7/2-       	-70873.890  	1.904   	1.46 S 3         	1.46                         	        	       	B-      	100          
133	SN     	50	83 	0.0000	7/2-       	-70873.890  	1.904   	1.46 S 3         	1.46                         	        	       	B-N     	0.0294       
134	SN     	50	84 	0.0000	0+         	-66433.759  	3.167   	1.050 S 11       	1.05                         	        	       	B-      	100          
134	SN     	50	84 	0.0000	0+         	-66433.759  	3.167   	1.050 S 11       	1.05                         	        	       	B-N     	17           
135	SN     	50	85 	0.0000	(7/2-)     	-60632.252  	3.074   	515 MS 5         	0.515                        	        	       	B-      	100          
135	SN     	50	85 	0.0000	(7/2-)     	-60632.252  	3.074   	515 MS 5         	0.515                        	        	       	B-N     	21           
135	SN     	50	85 	0.0000	(7/2-)     	-60632.252  	3.074   	515 MS 5         	0.515                        	        	       	B2N     	             
136	SN     	50	86 	0.0000	0+         	-56170      	200     	345 MS 15        	0.345                        	        	       	B-      	100          
136	SN     	50	86 	0.0000	0+         	-56170      	200     	345 MS 15        	0.345                        	        	       	B-N     	27           
137	SN     	50	87 	0.0000	           	-50150      	300     	190 MS 60        	0.19                         	        	       	B-      	100          
137	SN     	50	87 	0.0000	           	-50150      	300     	190 MS 60        	0.19                         	        	       	B-N     	58           
138	SN     	50	88 	0.0000	0+         	-45510      	400     	140 MS +30-20    	0.14                         	        	       	B-      	100          
138	SN     	50	88 	0.0000	0+         	-45510      	400     	140 MS +30-20    	0.14                         	        	       	B-N     	36           
138	SN     	50	88 	0.0000	0+         	-45510      	400     	140 MS +30-20    	0.14                         	        	       	B2N     	             
139	SN     	50	89 	0.0000	           	-39310      	400     	130 MS 60        	0.13                         	        	       	B-      	100          
139	SN     	50	89 	0.0000	           	-39310      	400     	130 MS 60        	0.13                         	        	       	B-N     	             
139	SN     	50	89 	0.0000	           	-39310      	400     	130 MS 60        	0.13                         	        	       	B3N     	             
140	SN     	50	90 	0.0000	0+         	-34490      	300     	                 	                             	        	       	B-      	100          
140	SN     	50	90 	0.0000	0+         	-34490      	300     	                 	                             	        	       	B-N     	             
140	SN     	50	90 	0.0000	0+         	-34490      	300     	                 	                             	        	       	B2N     	             
103	SB     	51	52 	0.0000	           	-56670      	300     	49 NS            	0.000000049                  	        	       	P       	             
104	SB     	51	53 	0.0000	           	-59295      	101     	0.44 S +15-11    	0.44                         	        	       	EC      	100          
104	SB     	51	53 	0.0000	           	-59295      	101     	0.44 S +15-11    	0.44                         	        	       	EP      	7            
104	SB     	51	53 	0.0000	           	-59295      	101     	0.44 S +15-11    	0.44                         	        	       	P       	1            
105	SB     	51	54 	0.0000	(5/2+)     	-64015.491  	21.827  	1.22 S 11        	1.22                         	        	       	EC      	100          
105	SB     	51	54 	0.0000	(5/2+)     	-64015.491  	21.827  	1.22 S 11        	1.22                         	        	       	P       	             
106	SB     	51	55 	0.0000	(2+)       	-66473.301  	7.452   	0.6 S 2          	0.6                          	        	       	EC      	             
107	SB     	51	56 	0.0000	(5/2+)     	-70653.248  	4.148   	4.0 S 2          	4                            	        	       	EC      	100          
108	SB     	51	57 	0.0000	(4+)       	-72445.341  	5.496   	7.4 S 3          	7.4                          	        	       	EC      	100          
109	SB     	51	58 	0.0000	(5/2+)     	-76250.986  	5.265   	17.2 S 5         	17.2                         	        	       	EC      	100          
110	SB     	51	59 	0.0000	(3+)       	-77449.745  	5.962   	23.6 S 3         	23.6                         	        	       	EC      	100          
111	SB     	51	60 	0.0000	(5/2+)     	-80836.747  	8.849   	75 S 1           	75                           	        	       	EC      	100          
112	SB     	51	61 	0.0000	(3+)       	-81598.973  	17.829  	53.5 S 6         	53.5                         	        	       	EC      	100          
113	SB     	51	62 	0.0000	5/2+       	-84416.966  	17.193  	6.67 M 7         	400.2                        	        	       	EC      	100          
114	SB     	51	63 	0.0000	3+         	-84496.616  	19.772  	3.49 M 3         	209.4                        	        	       	EC      	100          
115	SB     	51	64 	0.0000	5/2+       	-87003.412  	16.025  	32.1 M 3         	1926                         	        	       	EC      	100          
116	SB     	51	65 	0.0000	3+         	-86822.020  	5.154   	15.8 M 8         	948                          	        	       	EC      	100          
117	SB     	51	66 	0.0000	5/2+       	-88639.564  	8.437   	2.80 H 1         	10080                        	        	       	EC      	100          
117	SB     	51	66 	0.0000	5/2+       	-88639.564  	8.437   	2.80 H 1         	10080                        	        	       	B+      	1.7          
118	SB     	51	67 	0.0000	1+         	-87996.204  	3.016   	3.6 M 1          	216                          	        	       	EC      	100          
119	SB     	51	68 	0.0000	5/2+       	-89475.539  	6.998   	38.19 H 22       	137484                       	        	       	EC      	100          
120	SB     	51	69 	0.0000	1+         	-88417.133  	7.199   	15.89 M 4        	953.4                        	        	       	EC      	100          
121	SB     	51	70 	0.0000	5/2+       	-89599.157  	2.506   	STABLE           	infinity                     	57.21   	0.05   	        	             
122	SB     	51	71 	0.0000	2-         	-88334.205  	2.503   	2.7238 D 2       	235336.32                    	        	       	B-      	97.59        
122	SB     	51	71 	0.0000	2-         	-88334.205  	2.503   	2.7238 D 2       	235336.32                    	        	       	EC      	2.41         
123	SB     	51	72 	0.0000	7/2+       	-89222.890  	1.356   	STABLE           	infinity                     	42.79   	0.05   	        	             
124	SB     	51	73 	0.0000	3-         	-87619.069  	1.358   	60.20 D 3        	5201280                      	        	       	B-      	100          
125	SB     	51	74 	0.0000	7/2+       	-88255.094  	2.515   	2.75856 Y 25     	87051673.71647051            	        	       	B-      	100          
126	SB     	51	75 	0.0000	(8-)       	-86393.135  	31.847  	12.35 D 6        	1067040                      	        	       	B-      	100          
127	SB     	51	76 	0.0000	7/2+       	-86698.294  	5.083   	3.85 D 5         	332640                       	        	       	B-      	100          
128	SB     	51	77 	0.0000	8-         	-84629.852  	18.788  	9.05 H 4         	32580                        	        	       	B-      	100          
129	SB     	51	78 	0.0000	7/2+       	-84629.384  	21.225  	4.366 H 26       	15717.6                      	        	       	B-      	100          
130	SB     	51	79 	0.0000	(8-)       	-82285.687  	14.212  	39.5 M 8         	2370                         	        	       	B-      	100          
131	SB     	51	80 	0.0000	(7/2+)     	-81981.412  	2.084   	23.03 M 4        	1381.8                       	        	       	B-      	100          
132	SB     	51	81 	0.0000	(4)+       	-79635.282  	2.467   	2.79 M 7         	167.4                        	        	       	B-      	100          
133	SB     	51	82 	0.0000	(7/2+)     	-78923.513  	3.128   	2.34 M 5         	140.4                        	        	       	B-      	100          
134	SB     	51	83 	0.0000	(0-)       	-74019.004  	3.074   	0.78 S 6         	0.78                         	        	       	B-      	100          
135	SB     	51	84 	0.0000	(7/2+)     	-69690.332  	2.640   	1.679 S 15       	1.679                        	        	       	B-      	100          
135	SB     	51	84 	0.0000	(7/2+)     	-69690.332  	2.640   	1.679 S 15       	1.679                        	        	       	B-N     	22           
136	SB     	51	85 	0.0000	(1-)       	-64506.890  	5.830   	0.923 S 14       	0.923                        	        	       	B-      	100          
136	SB     	51	85 	0.0000	(1-)       	-64506.890  	5.830   	0.923 S 14       	0.923                        	        	       	B-N     	18.5         
136	SB     	51	85 	0.0000	(1-)       	-64506.890  	5.830   	0.923 S 14       	0.923                        	        	       	B2N     	1            
137	SB     	51	86 	0.0000	(7/2+)     	-60060.392  	52.164  	450 MS 50        	0.45                         	        	       	B-      	100          
137	SB     	51	86 	0.0000	(7/2+)     	-60060.392  	52.164  	450 MS 50        	0.45                         	        	       	B-N     	49           
138	SB     	51	87 	0.0000	(3-)       	-54650      	300     	348 MS 15        	0.348                        	        	       	B-N     	72           
138	SB     	51	87 	0.0000	(3-)       	-54650      	300     	348 MS 15        	0.348                        	        	       	B-      	             
138	SB     	51	87 	0.0000	(3-)       	-54650      	300     	348 MS 15        	0.348                        	        	       	B2N     	             
139	SB     	51	88 	0.0000	(7/2+)     	-50050      	400     	93 MS 13         	0.093                        	        	       	B-      	100          
139	SB     	51	88 	0.0000	(7/2+)     	-50050      	400     	93 MS 13         	0.093                        	        	       	B-N     	90           
139	SB     	51	88 	0.0000	(7/2+)     	-50050      	400     	93 MS 13         	0.093                        	        	       	B2N     	             
140	SB     	51	89 	0.0000	(3- 4-)    	-44390      	600     	173 MS 12        	0.173                        	        	       	B-      	100          
140	SB     	51	89 	0.0000	(3- 4-)    	-44390      	600     	173 MS 12        	0.173                        	        	       	B-N     	23           
140	SB     	51	89 	0.0000	(3- 4-)    	-44390      	600     	173 MS 12        	0.173                        	        	       	B2N     	7.6          
141	SB     	51	90 	0.0000	           	-39540      	500     	103 MS 29        	0.103                        	        	       	B-      	100          
141	SB     	51	90 	0.0000	           	-39540      	500     	103 MS 29        	0.103                        	        	       	B2N     	             
141	SB     	51	90 	0.0000	           	-39540      	500     	103 MS 29        	0.103                        	        	       	B-N     	             
142	SB     	51	91 	0.0000	           	-33610      	300     	53 MS +69-31     	0.053                        	        	       	B-      	100          
142	SB     	51	91 	0.0000	           	-33610      	300     	53 MS +69-31     	0.053                        	        	       	B2N     	             
142	SB     	51	91 	0.0000	           	-33610      	300     	53 MS +69-31     	0.053                        	        	       	B-N     	             
104	TE     	52	52 	0.0000	0+         	-49626.831  	317.609 	18 NS            	0.000000018                  	        	       	A       	100          
104	TE     	52	52 	0.0000	0+         	-49626.831  	317.609 	18 NS            	0.000000018                  	        	       	2P      	             
105	TE     	52	53 	0.0000	[5/2+]     	-52811.509  	300.020 	0.62 US 7        	0.00000062                   	        	       	A       	100          
106	TE     	52	54 	0.0000	0+         	-58219.759  	100.541 	70 US 17         	0.00007                      	        	       	A       	100          
107	TE     	52	55 	0.0000	           	-60657      	101     	3.1 MS 1         	0.0031                       	        	       	A       	70           
107	TE     	52	55 	0.0000	           	-60657      	101     	3.1 MS 1         	0.0031                       	        	       	EC      	30           
108	TE     	52	56 	0.0000	0+         	-65781.676  	5.411   	2.1 S 1          	2.1                          	        	       	EC      	51           
108	TE     	52	56 	0.0000	0+         	-65781.676  	5.411   	2.1 S 1          	2.1                          	        	       	A       	49           
108	TE     	52	56 	0.0000	0+         	-65781.676  	5.411   	2.1 S 1          	2.1                          	        	       	EP      	2.4          
109	TE     	52	57 	0.0000	(5/2+)     	-67715.399  	4.382   	4.4 S 2          	4.4                          	        	       	EC      	96.1         
109	TE     	52	57 	0.0000	(5/2+)     	-67715.399  	4.382   	4.4 S 2          	4.4                          	        	       	EP      	9.4          
109	TE     	52	57 	0.0000	(5/2+)     	-67715.399  	4.382   	4.4 S 2          	4.4                          	        	       	A       	3.9          
110	TE     	52	58 	0.0000	0+         	-72229.821  	6.575   	18.6 S 8         	18.6                         	        	       	EC      	100          
110	TE     	52	58 	0.0000	0+         	-72229.821  	6.575   	18.6 S 8         	18.6                         	        	       	A       	0.00067      
111	TE     	52	59 	0.0000	(5/2)+     	-73587.487  	6.427   	19.3 S 4         	19.3                         	        	       	EC      	100          
111	TE     	52	59 	0.0000	(5/2)+     	-73587.487  	6.427   	19.3 S 4         	19.3                         	        	       	EP      	             
112	TE     	52	60 	0.0000	0+         	-77567.518  	8.383   	2.0 M 2          	120                          	        	       	EC      	100          
113	TE     	52	61 	0.0000	(7/2+)     	-78347.037  	27.945  	1.7 M 2          	102                          	        	       	EC      	100          
114	TE     	52	62 	0.0000	0+         	-81889.676  	24.428  	15.2 M 7         	912                          	        	       	EC      	100          
115	TE     	52	63 	0.0000	7/2+       	-82062.767  	27.945  	5.8 M 2          	348                          	        	       	EC      	100          
116	TE     	52	64 	0.0000	0+         	-85263.793  	24.206  	2.49 H 4         	8964                         	        	       	EC      	100          
117	TE     	52	65 	0.0000	1/2+       	-85095.500  	13.455  	62 M 2           	3720                         	        	       	EC      	100          
117	TE     	52	65 	0.0000	1/2+       	-85095.500  	13.455  	62 M 2           	3720                         	        	       	B+      	25           
118	TE     	52	66 	0.0000	0+         	-87690.758  	18.306  	6.00 D 2         	518400                       	        	       	EC      	100          
119	TE     	52	67 	0.0000	1/2+       	-87182.539  	7.278   	16.05 H 5        	57780                        	        	       	EC      	100          
119	TE     	52	67 	0.0000	1/2+       	-87182.539  	7.278   	16.05 H 5        	57780                        	        	       	B+      	2.06         
120	TE     	52	68 	0.0000	0+         	-89362.160  	1.751   	STABLE           	infinity                     	0.09    	0.01   	        	             
121	TE     	52	69 	0.0000	1/2+       	-88543.111  	25.835  	19.17 D 4        	1656288                      	        	       	EC      	100          
122	TE     	52	70 	0.0000	0+         	-90313.282  	1.357   	STABLE           	infinity                     	2.55    	0.12   	        	             
123	TE     	52	71 	0.0000	1/2+       	-89170.978  	1.355   	9.2E+16 Y        	2.903237189662464e24         	0.89    	0.03   	EC      	100          
124	TE     	52	72 	0.0000	0+         	-90524.142  	1.352   	STABLE           	infinity                     	4.74    	0.14   	        	             
125	TE     	52	73 	0.0000	1/2+       	-89021.794  	1.352   	STABLE           	infinity                     	7.07    	0.15   	        	             
126	TE     	52	74 	0.0000	0+         	-90064.168  	1.354   	STABLE           	infinity                     	18.84   	0.25   	        	             
127	TE     	52	75 	0.0000	3/2+       	-88280.497  	1.365   	9.35 H 7         	33660                        	        	       	B-      	100          
128	TE     	52	76 	0.0000	0+         	-88993.794  	0.706   	7.7E+24 Y 4      	2.429883300043584e32         	31.74   	0.08   	2B-     	100          
129	TE     	52	77 	0.0000	3/2+       	-87004.884  	0.711   	69.6 M 3         	4176                         	        	       	B-      	100          
130	TE     	52	78 	0.0000	0+         	-87352.960  	0.011   	0.79E+21 Y       	2.492997151992768e28         	34.08   	0.62   	2B-     	100          
131	TE     	52	79 	0.0000	3/2+       	-85211.022  	0.061   	25.0 M 1         	1500                         	        	       	B-      	100          
132	TE     	52	80 	0.0000	0+         	-85188.197  	3.486   	3.204 D 13       	276825.6                     	        	       	B-      	100          
133	TE     	52	81 	0.0000	(3/2+)     	-82937.133  	2.066   	12.5 M 3         	750                          	        	       	B-      	100          
134	TE     	52	82 	0.0000	0+         	-82533.752  	2.746   	41.8 M 8         	2508                         	        	       	B-      	100          
135	TE     	52	83 	0.0000	(7/2-)     	-77728.790  	1.722   	19.0 S 2         	19                           	        	       	B-      	100          
136	TE     	52	84 	0.0000	0+         	-74425.279  	2.281   	17.63 S 9        	17.63                        	        	       	B-      	100          
136	TE     	52	84 	0.0000	0+         	-74425.279  	2.281   	17.63 S 9        	17.63                        	        	       	B-N     	1.31         
137	TE     	52	85 	0.0000	(7/2-)     	-69303.762  	2.100   	2.49 S 5         	2.49                         	        	       	B-      	100          
137	TE     	52	85 	0.0000	(7/2-)     	-69303.762  	2.100   	2.49 S 5         	2.49                         	        	       	B-N     	2.99         
138	TE     	52	86 	0.0000	0+         	-65695.995  	3.787   	1.4 S 4          	1.4                          	        	       	B-      	100          
138	TE     	52	86 	0.0000	0+         	-65695.995  	3.787   	1.4 S 4          	1.4                          	        	       	B-N     	6.3          
139	TE     	52	87 	0.0000	(7/2-)     	-60205.080  	3.540   	1.6 S 3          	1.6                          	        	       	B-      	100          
139	TE     	52	87 	0.0000	(7/2-)     	-60205.080  	3.540   	1.6 S 3          	1.6                          	        	       	B-N     	             
140	TE     	52	88 	0.0000	0+         	-56367.449  	14.377  	348 MS 5         	0.348                        	        	       	B-      	100          
140	TE     	52	88 	0.0000	0+         	-56367.449  	14.377  	348 MS 5         	0.348                        	        	       	B-N     	             
141	TE     	52	89 	0.0000	           	-50670      	400     	193 MS 16        	0.193                        	        	       	B-      	100          
141	TE     	52	89 	0.0000	           	-50670      	400     	193 MS 16        	0.193                        	        	       	B-N     	             
142	TE     	52	90 	0.0000	0+         	-46550      	500     	                 	                             	        	       	        	             
143	TE     	52	91 	0.0000	           	-40530      	500     	408 NS           	0.000000408                  	        	       	B-      	             
143	TE     	52	91 	0.0000	           	-40530      	500     	408 NS           	0.000000408                  	        	       	B-N     	             
143	TE     	52	91 	0.0000	           	-40530      	500     	408 NS           	0.000000408                  	        	       	B2N     	             
144	TE     	52	92 	0.0000	0+         	-36220      	300     	                 	                             	        	       	B-      	100          
144	TE     	52	92 	0.0000	0+         	-36220      	300     	                 	                             	        	       	B2N     	             
144	TE     	52	92 	0.0000	0+         	-36220      	300     	                 	                             	        	       	B-N     	             
145	TE     	52	93 	0.0000	           	-30010      	300     	                 	                             	        	       	B-      	100          
145	TE     	52	93 	0.0000	           	-30010      	300     	                 	                             	        	       	B2N     	             
145	TE     	52	93 	0.0000	           	-30010      	300     	                 	                             	        	       	B-N     	             
108	I      	53	55 	0.0000	(1)        	-52771      	101     	36 MS 6          	0.036                        	        	       	A       	91           
108	I      	53	55 	0.0000	(1)        	-52771      	101     	36 MS 6          	0.036                        	        	       	EC      	9            
108	I      	53	55 	0.0000	(1)        	-52771      	101     	36 MS 6          	0.036                        	        	       	P       	1            
109	I      	53	56 	0.0000	(1/2+ 3/2+)	-57672.505  	6.729   	92.8 US 8        	0.0000928                    	        	       	P       	99.986       
109	I      	53	56 	0.0000	(1/2+ 3/2+)	-57672.505  	6.729   	92.8 US 8        	0.0000928                    	        	       	A       	0.014        
110	I      	53	57 	0.0000	(1+)       	-60467.844  	61.940  	0.664 S 24       	0.664                        	        	       	EC      	83           
110	I      	53	57 	0.0000	(1+)       	-60467.844  	61.940  	0.664 S 24       	0.664                        	        	       	A       	17           
110	I      	53	57 	0.0000	(1+)       	-60467.844  	61.940  	0.664 S 24       	0.664                        	        	       	EP      	11           
111	I      	53	58 	0.0000	(5/2+)     	-64953.795  	4.754   	2.5 S 2          	2.5                          	        	       	EC      	99.9         
111	I      	53	58 	0.0000	(5/2+)     	-64953.795  	4.754   	2.5 S 2          	2.5                          	        	       	A       	0.1          
112	I      	53	59 	0.0000	(1+)       	-67063.339  	10.246  	3.34 S 8         	3.34                         	        	       	EC      	100          
112	I      	53	59 	0.0000	(1+)       	-67063.339  	10.246  	3.34 S 8         	3.34                         	        	       	EP      	0.88         
112	I      	53	59 	0.0000	(1+)       	-67063.339  	10.246  	3.34 S 8         	3.34                         	        	       	EA      	0.104        
113	I      	53	60 	0.0000	5/2+       	-71119.517  	8.011   	6.6 S 2          	6.6                          	        	       	EC      	100          
113	I      	53	60 	0.0000	5/2+       	-71119.517  	8.011   	6.6 S 2          	6.6                          	        	       	A       	0.000000331  
114	I      	53	61 	0.0000	1+         	-72638.935  	20.027  	2.1 S 2          	2.1                          	        	       	EC      	100          
