A  	Element	Z  	N  	Par. Elevel	Unc. 	JPi       	Dec Mode	T1/2 (txt)    	T1/2 (num)        	Daughter	Radiation	Rad subtype 	Rad Ene.  	Unc       	EP Ene.   	Unc       	Rad Int.  	Unc       	Dose        	Unc       
21 	O      	8 	13 	0.0        	    	(5/2+)    	B-      	3.42 S 10     	3.42              	21F     	G        	           	1754.74  	8  	       	   	11.3      	6   	0.198      	10 
21 	O      	8 	13 	0.0        	    	(5/2+)    	B-      	3.42 S 10     	3.42              	21F     	G        	           	1787.16  	8  	       	   	14.2      	6   	0.253      	10 
21 	O      	8 	13 	0.0        	    	(5/2+)    	B-      	3.42 S 10     	3.42              	21F     	G        	           	1884.01  	9  	       	   	6.8       	6   	0.129      	10 
21 	O      	8 	13 	0.0        	    	(5/2+)    	B-      	3.42 S 10     	3.42              	21F     	G        	           	3179.43  	10 	       	   	5.2       	6   	0.167      	18 
21 	O      	8 	13 	0.0        	    	(5/2+)    	B-      	3.42 S 10     	3.42              	21F     	G        	           	3459.38  	13 	       	   	3.0       	5   	0.103      	19 
21 	O      	8 	13 	0.0        	    	(5/2+)    	B-      	3.42 S 10     	3.42              	21F     	G        	           	3517.40  	10 	       	   	15.4      	6   	0.542      	21 
21 	O      	8 	13 	0.0        	    	(5/2+)    	B-      	3.42 S 10     	3.42              	21F     	G        	           	4572.2   	4  	       	   	4.7       	6   	0.22       	3  
21 	O      	8 	13 	0.0        	    	(5/2+)    	B-      	3.42 S 10     	3.42              	21F     	G        	           	4583.5   	3  	       	   	5.3       	6   	0.24       	3  
22 	O      	8 	14 	0          	    	0+        	B-      	2.25 S 9      	2.25              	22F     	G        	           	71.6     	2  	       	   	1.0E+2    	5   	0.07       	4  
22 	O      	8 	14 	0          	    	0+        	B-      	2.25 S 9      	2.25              	22F     	G        	           	637.4    	2  	       	   	1.0E+2    	4   	0.6        	3  
22 	O      	8 	14 	0          	    	0+        	B-      	2.25 S 9      	2.25              	22F     	G        	           	709.6    	3  	       	   	13        	6   	0.09       	4  
22 	O      	8 	14 	0          	    	0+        	B-      	2.25 S 9      	2.25              	22F     	G        	           	918.0    	2  	       	   	34        	14  	0.31       	13 
22 	O      	8 	14 	0          	    	0+        	B-      	2.25 S 9      	2.25              	22F     	G        	           	944      	   	       	   	3.0       	16  	0.028      	15 
22 	O      	8 	14 	0          	    	0+        	B-      	2.25 S 9      	2.25              	22F     	G        	           	1862.6   	3  	       	   	6.E+1     	3   	1.2        	5  
22 	O      	8 	14 	0          	    	0+        	B-      	2.25 S 9      	2.25              	22F     	G        	           	2499     	   	       	   	1.5       	12  	0.04       	3  
17 	F      	9 	8  	0          	    	5/2+      	B+      	64.385 S 53   	64.385            	17O     	G        	XR ka1     	0.525    	   	       	   	8.E-4     	3   	4.0E-9     	16 
17 	F      	9 	8  	0          	    	5/2+      	B+      	64.385 S 53   	64.385            	17O     	G        	XR ka2     	0.525    	   	       	   	3.9E-4    	15  	2.0E-9     	8  
17 	F      	9 	8  	0          	    	5/2+      	B+      	64.385 S 53   	64.385            	17O     	G        	Annihil.   	511.0    	   	       	   	199.74    	3   	           	   
18 	F      	9 	9  	0          	    	1+        	B+      	109.77 M 5    	6586.2            	18O     	G        	XR ka1     	0.525    	   	       	   	0.017     	7   	9.E-8      	4  
18 	F      	9 	9  	0          	    	1+        	B+      	109.77 M 5    	6586.2            	18O     	G        	XR ka2     	0.525    	   	       	   	0.009     	3   	4.5E-8     	18 
18 	F      	9 	9  	0          	    	1+        	B+      	109.77 M 5    	6586.2            	18O     	G        	Annihil.   	511.0    	   	       	   	193.46    	8   	           	   
20 	F      	9 	11 	0          	    	2+        	B-      	11.163 S 8    	11.163            	20NE    	G        	           	1633.602 	15 	       	   	99.1      	    	1.633594   	   
20 	F      	9 	11 	0          	    	2+        	B-      	11.163 S 8    	11.163            	20NE    	G        	           	3332.54  	20 	       	   	0.0082    	6   	2.73E-4    	20 
20 	F      	9 	11 	0          	    	2+        	B-      	11.163 S 8    	11.163            	20NE    	G        	           	4965.85  	20 	       	   	5.0E-5    	20  	2.5E-6     	10 
21 	F      	9 	12 	0.0        	    	5/2+      	B-      	4.158 S 20    	4.158             	21NE    	G        	           	350.725  	8  	       	   	0.896     	    	0.00314074 	   
21 	F      	9 	12 	0.0        	    	5/2+      	B-      	4.158 S 20    	4.158             	21NE    	G        	           	1395.131 	17 	       	   	15.3      	3   	0.214      	4  
21 	F      	9 	12 	0.0        	    	5/2+      	B-      	4.158 S 20    	4.158             	21NE    	G        	           	1745.8   	   	       	   	0.774     	13  	0.01351    	23 
21 	F      	9 	12 	0.0        	    	5/2+      	B-      	4.158 S 20    	4.158             	21NE    	G        	           	1890.4   	3  	       	   	0.0018    	3   	3.4E-5     	5  
21 	F      	9 	12 	0.0        	    	5/2+      	B-      	4.158 S 20    	4.158             	21NE    	G        	           	1989     	1  	       	   	2.0E-4    	5   	3.9E-6     	11 
21 	F      	9 	12 	0.0        	    	5/2+      	B-      	4.158 S 20    	4.158             	21NE    	G        	           	2779.4   	3  	       	   	0.00159   	15  	4.4E-5     	4  
21 	F      	9 	12 	0.0        	    	5/2+      	B-      	4.158 S 20    	4.158             	21NE    	G        	           	2793.94  	5  	       	   	0.0018    	3   	5.0E-5     	8  
21 	F      	9 	12 	0.0        	    	5/2+      	B-      	4.158 S 20    	4.158             	21NE    	G        	           	3384.6   	2  	       	   	3.5E-4    	5   	1.18E-5    	18 
21 	F      	9 	12 	0.0        	    	5/2+      	B-      	4.158 S 20    	4.158             	21NE    	G        	           	3533.2   	4  	       	   	0.00292   	15  	1.03E-4    	5  
21 	F      	9 	12 	0.0        	    	5/2+      	B-      	4.158 S 20    	4.158             	21NE    	G        	           	3735.2   	5  	       	   	0.00249   	23  	9.3E-5     	9  
21 	F      	9 	12 	0.0        	    	5/2+      	B-      	4.158 S 20    	4.158             	21NE    	G        	           	3883.9   	   	       	   	9.6E-4    	13  	3.7E-5     	5  
21 	F      	9 	12 	0.0        	    	5/2+      	B-      	4.158 S 20    	4.158             	21NE    	G        	           	4174.1   	3  	       	   	0.0320    	6   	0.00133    	3  
21 	F      	9 	12 	0.0        	    	5/2+      	B-      	4.158 S 20    	4.158             	21NE    	G        	           	4333.52  	25 	       	   	0.0476    	13  	0.00206    	5  
21 	F      	9 	12 	0.0        	    	5/2+      	B-      	4.158 S 20    	4.158             	21NE    	G        	           	4525.84  	24 	       	   	0.0095    	3   	4.30E-4    	12 
21 	F      	9 	12 	0.0        	    	5/2+      	B-      	4.158 S 20    	4.158             	21NE    	G        	           	4684.27  	25 	       	   	0.0280    	10  	0.00131    	5  
23 	F      	9 	14 	0.0        	    	(5/2+)    	B-      	2.23 S 14     	2.23              	23NE    	G        	           	493.0    	7  	       	   	3.2       	9   	0.016      	4  
23 	F      	9 	14 	0.0        	    	(5/2+)    	B-      	2.23 S 14     	2.23              	23NE    	G        	           	815.2    	5  	       	   	7.4       	16  	0.061      	13 
23 	F      	9 	14 	0.0        	    	(5/2+)    	B-      	2.23 S 14     	2.23              	23NE    	G        	           	1016.7   	5  	       	   	6.0       	18  	0.061      	18 
23 	F      	9 	14 	0.0        	    	(5/2+)    	B-      	2.23 S 14     	2.23              	23NE    	G        	           	1701.44  	15 	       	   	30        	3   	0.51       	6  
